Time [min]   Reflectance_590  PulseNumber 
2.00000      10159.00000      1.0         
4.00000      10156.00000      2.0         
6.00000      10017.00000      3.0         
8.00000      9767.00000       4.0         
10.00000     9372.00000       5.0         
12.00000     8808.00000       6.0         
14.00000     8212.00000       7.0         
16.00000     7528.00000       8.0         
18.00000     7165.00000       9.0         
20.00000     7197.00000       10.0        
22.00000     7460.00000       11.0        
24.00000     7808.00000       12.0        
26.00000     8166.00000       13.0        
28.00000     8529.00000       14.0        
30.00000     8894.00000       15.0        
32.00000     9076.00000       16.0        
34.00000     9078.00000       17.0        
36.00000     8918.00000       18.0        
38.00000     8610.00000       19.0        
40.00000     8142.00000       20.0        
42.00000     7590.00000       21.0        
44.00000     6965.00000       22.0        
46.00000     6631.00000       23.0        
48.00000     6646.00000       24.0        
50.00000     6888.00000       25.0        
52.00000     7256.00000       26.0        
54.00000     7637.00000       27.0        
56.00000     8018.00000       28.0        
58.00000     8408.00000       29.0        
60.00000     8644.00000       30.0        
62.00000     8670.00000       31.0        
64.00000     8554.00000       32.0        
66.00000     8298.00000       33.0        
68.00000     7848.00000       34.0        
70.00000     7331.00000       35.0        
72.00000     6763.00000       36.0        
74.00000     6404.00000       37.0        
76.00000     6403.00000       38.0        
78.00000     6661.00000       39.0        
80.00000     7014.00000       40.0        
82.00000     7409.00000       41.0        
84.00000     7800.00000       42.0        
86.00000     8192.00000       43.0        
88.00000     8441.00000       44.0        
90.00000     8498.00000       45.0        
92.00000     8422.00000       46.0        
94.00000     8166.00000       47.0        
96.00000     7745.00000       48.0        
98.00000     7240.00000       49.0        
100.00000    6658.00000       50.0        
102.00000    6270.00000       51.0        
104.00000    6285.00000       52.0        
106.00000    6515.00000       53.0        
108.00000    6866.00000       54.0        
110.00000    7259.00000       55.0        
112.00000    7662.00000       56.0        
114.00000    8055.00000       57.0        
116.00000    8331.00000       58.0        
118.00000    8413.00000       59.0        
120.00000    8328.00000       60.0        
122.00000    8109.00000       61.0        
124.00000    7704.00000       62.0        
126.00000    7205.00000       63.0        
128.00000    6652.00000       64.0        
130.00000    6252.00000       65.0        
132.00000    6246.00000       66.0        
134.00000    6462.00000       67.0        
136.00000    6821.00000       68.0        
138.00000    7213.00000       69.0        
140.00000    7505.00000       70.0        
142.00000    7716.00000       71.0        
144.00000    7885.00000       72.0        
146.00000    8012.00000       73.0        
148.00000    8148.00000       74.0        
150.00000    8250.00000       75.0        
152.00000    8338.00000       76.0        
154.00000    8423.00000       77.0        
156.00000    8470.00000       78.0        
158.00000    8168.00000       79.0        
160.00000    7830.00000       80.0        
162.00000    7586.00000       81.0        
164.00000    7428.00000       82.0        
166.00000    7432.00000       83.0        
168.00000    7622.00000       84.0        
170.00000    7795.00000       85.0        
172.00000    7786.00000       86.0        
174.00000    7665.00000       87.0        
176.00000    7353.00000       88.0        
178.00000    6844.00000       89.0        
180.00000    6208.00000       90.0        
182.00000    5478.00000       91.0        
184.00000    4910.00000       92.0        
186.00000    4946.00000       93.0        
188.00000    5161.00000       94.0        
190.00000    5544.00000       95.0        
192.00000    5986.00000       96.0        
194.00000    6471.00000       97.0        
196.00000    6971.00000       98.0        
198.00000    7406.00000       99.0        
200.00000    7596.00000       100.0       
202.00000    7594.00000       101.0       
204.00000    7393.00000       102.0       
206.00000    6973.00000       103.0       
208.00000    6372.00000       104.0       
210.00000    5690.00000       105.0       
212.00000    5100.00000       106.0       
214.00000    5141.00000       107.0       
216.00000    5355.00000       108.0       
218.00000    5775.00000       109.0       
220.00000    6255.00000       110.0       
222.00000    6746.00000       111.0       
224.00000    7259.00000       112.0       
226.00000    7746.00000       113.0       
228.00000    7932.00000       114.0       
230.00000    7918.00000       115.0       
232.00000    7736.00000       116.0       
234.00000    7322.00000       117.0       
236.00000    6705.00000       118.0       
238.00000    6031.00000       119.0       
240.00000    5390.00000       120.0       
242.00000    5400.00000       121.0       
244.00000    5610.00000       122.0       
246.00000    6017.00000       123.0       
248.00000    6486.00000       124.0       
250.00000    6978.00000       125.0       
252.00000    7513.00000       126.0       
254.00000    7962.00000       127.0       
256.00000    8150.00000       128.0       
258.00000    8144.00000       129.0       
260.00000    7957.00000       130.0       
262.00000    7553.00000       131.0       
264.00000    6932.00000       132.0       
266.00000    6256.00000       133.0       
268.00000    5556.00000       134.0       
270.00000    5535.00000       135.0       
272.00000    5730.00000       136.0       
274.00000    6133.00000       137.0       
276.00000    6618.00000       138.0       
278.00000    7102.00000       139.0       
280.00000    7609.00000       140.0       
282.00000    8080.00000       141.0       
284.00000    8273.00000       142.0       
286.00000    8290.00000       143.0       
288.00000    8097.00000       144.0       
290.00000    7707.00000       145.0       
292.00000    7080.00000       146.0       
294.00000    6388.00000       147.0       
296.00000    5667.00000       148.0       
298.00000    5626.00000       149.0       
300.00000    5788.00000       150.0       
302.00000    6212.00000       151.0       
304.00000    6670.00000       152.0       
306.00000    7152.00000       153.0       
308.00000    7652.00000       154.0       
310.00000    8138.00000       155.0       
312.00000    8360.00000       156.0       
314.00000    8392.00000       157.0       
316.00000    8464.00000       158.0       
318.00000    8537.00000       159.0       
320.00000    8636.00000       160.0       
322.00000    8690.00000       161.0       
324.00000    8770.00000       162.0       
326.00000    8833.00000       163.0       
328.00000    8897.00000       164.0       
330.00000    8949.00000       165.0       
